Timestamp,Python CPU Percentage,Uvicorn CPU Percentage,Python Memory Percentage,Uvicorn Memory Percentage
17:20:20,"(4.9, 0)","(10.144335566244127, 0)"
17:20:21,"(3.0, 0)","(10.144335566244127, 0)"
17:20:22,"(4.9, 0)","(10.144335566244127, 0)"
17:20:23,"(5.9, 0)","(10.144335566244127, 0)"
17:20:24,"(4.0, 0)","(10.144335566244127, 0)"
17:20:25,"(4.0, 0)","(10.144335566244127, 0)"
17:20:26,"(8.8, 0)","(10.144335566244127, 0)"
17:20:27,"(6.9, 0)","(10.144335566244127, 0)"
17:20:28,"(3.9, 0)","(10.144335566244127, 0)"
17:20:29,"(4.9, 0)","(10.144335566244127, 0)"
17:20:30,"(4.0, 0)","(10.144335566244127, 0)"
17:20:31,"(4.0, 0)","(10.144335566244127, 0)"
17:20:32,"(4.9, 0)","(10.144335566244127, 0)"
17:20:33,"(5.8, 0)","(10.144335566244127, 0)"
17:20:34,"(6.9, 0)","(10.144335566244127, 0)"
17:20:35,"(4.0, 0)","(10.144335566244127, 0)"
17:20:36,"(4.0, 0)","(10.144335566244127, 0)"
17:20:37,"(4.9, 0)","(10.144335566244127, 0)"
17:20:38,"(4.0, 0)","(10.144335566244127, 0)"
17:20:39,"(4.0, 0)","(10.144335566244127, 0)"
17:20:40,"(4.0, 0)","(10.144335566244127, 0)"
17:20:41,"(3.9, 0)","(10.144335566244127, 0)"
17:20:42,"(5.0, 0)","(10.144335566244127, 0)"
17:20:43,"(7.9, 0)","(10.144335566244127, 0)"
17:20:44,"(7.800000000000001, 0)","(10.144335566244127, 0)"
17:20:45,"(2.0, 0)","(10.144335566244127, 0)"
17:20:46,"(4.9, 0)","(10.144335566244127, 0)"
17:20:47,"(3.9, 0)","(10.144335566244127, 0)"
17:20:48,"(4.0, 0)","(10.144335566244127, 0)"
17:20:49,"(3.9, 0)","(10.144335566244127, 0)"
17:20:50,"(7.8, 0)","(10.144335566244127, 0)"
17:20:52,"(6.8, 0)","(10.144335566244127, 0)"
17:20:53,"(5.9, 0)","(10.144335566244127, 0)"
17:20:54,"(4.0, 0)","(10.144335566244127, 0)"
17:20:55,"(4.0, 0)","(10.144335566244127, 0)"
17:20:56,"(3.9, 0)","(10.144335566244127, 0)"
17:20:57,"(5.9, 0)","(10.144335566244127, 0)"
17:20:58,"(6.9, 0)","(10.144335566244127, 0)"
17:20:59,"(5.9, 0)","(10.144335566244127, 0)"
17:21:00,"(4.9, 0)","(10.144335566244127, 0)"
17:21:01,"(4.9, 0)","(10.144335566244127, 0)"
17:21:02,"(4.9, 0)","(10.144335566244127, 0)"
